,username,method,n_per_date,similarity,embedding_metric,num_previous_posts,num_timeframe_posts,num_articles,start,end,vectorization_time,embed_articles_time,embed_captions_time,jaccard
0,espn,tfidf,1,cosine,weighted,28688,192,52,2023-09-01,2023-09-08,4.884889841079712,0.03256797790527344,6.014641761779785,0.15380297502104967
1,espn,tfidf,5,cosine,weighted,28688,192,52,2023-09-01,2023-09-08,4.884889841079712,0.03256797790527344,6.014641761779785,0.10829355608591885
2,espn,tfidf,1,manhattan,weighted,28688,192,52,2023-09-01,2023-09-08,4.884889841079712,0.03256797790527344,6.014641761779785,0.1454349582547805
3,espn,tfidf,5,manhattan,weighted,28688,192,52,2023-09-01,2023-09-08,4.884889841079712,0.03256797790527344,6.014641761779785,0.10794780545670225
4,espn,tfidf,1,euclidean,weighted,28688,192,52,2023-09-01,2023-09-08,4.884889841079712,0.03256797790527344,6.014641761779785,0.12809472551130247
5,espn,tfidf,5,euclidean,weighted,28688,192,52,2023-09-01,2023-09-08,4.884889841079712,0.03256797790527344,6.014641761779785,0.11933860531991373
6,espn,tfidf,1,cosine,mean,28688,192,52,2023-09-01,2023-09-08,4.884889841079712,0.03256797790527344,6.014641761779785,0.15380297502104967
7,espn,tfidf,5,cosine,mean,28688,192,52,2023-09-01,2023-09-08,4.884889841079712,0.03256797790527344,6.014641761779785,0.10829355608591885
8,espn,tfidf,1,manhattan,mean,28688,192,52,2023-09-01,2023-09-08,4.884889841079712,0.03256797790527344,6.014641761779785,0.1454349582547805
9,espn,tfidf,5,manhattan,mean,28688,192,52,2023-09-01,2023-09-08,4.884889841079712,0.03256797790527344,6.014641761779785,0.10794780545670225
10,espn,tfidf,1,euclidean,mean,28688,192,52,2023-09-01,2023-09-08,4.884889841079712,0.03256797790527344,6.014641761779785,0.12809472551130247
11,espn,tfidf,5,euclidean,mean,28688,192,52,2023-09-01,2023-09-08,4.884889841079712,0.03256797790527344,6.014641761779785,0.11933860531991373
12,espn,bow,1,cosine,weighted,28688,192,52,2023-09-01,2023-09-08,3.8217668533325195,0.018060922622680664,1.5774619579315186,0.15658870507701084
13,espn,bow,5,cosine,weighted,28688,192,52,2023-09-01,2023-09-08,3.8217668533325195,0.018060922622680664,1.5774619579315186,0.10914855072463768
14,espn,bow,1,manhattan,weighted,28688,192,52,2023-09-01,2023-09-08,3.8217668533325195,0.018060922622680664,1.5774619579315186,0.13590005099439062
15,espn,bow,5,manhattan,weighted,28688,192,52,2023-09-01,2023-09-08,3.8217668533325195,0.018060922622680664,1.5774619579315186,0.10608923121639297
16,espn,bow,1,euclidean,weighted,28688,192,52,2023-09-01,2023-09-08,3.8217668533325195,0.018060922622680664,1.5774619579315186,0.13625983252981477
17,espn,bow,5,euclidean,weighted,28688,192,52,2023-09-01,2023-09-08,3.8217668533325195,0.018060922622680664,1.5774619579315186,0.1065633679286654
18,espn,bow,1,cosine,mean,28688,192,52,2023-09-01,2023-09-08,3.8217668533325195,0.018060922622680664,1.5774619579315186,0.15658870507701084
19,espn,bow,5,cosine,mean,28688,192,52,2023-09-01,2023-09-08,3.8217668533325195,0.018060922622680664,1.5774619579315186,0.10914855072463768
20,espn,bow,1,manhattan,mean,28688,192,52,2023-09-01,2023-09-08,3.8217668533325195,0.018060922622680664,1.5774619579315186,0.13590005099439062
21,espn,bow,5,manhattan,mean,28688,192,52,2023-09-01,2023-09-08,3.8217668533325195,0.018060922622680664,1.5774619579315186,0.10608923121639297
22,espn,bow,1,euclidean,mean,28688,192,52,2023-09-01,2023-09-08,3.8217668533325195,0.018060922622680664,1.5774619579315186,0.13625983252981477
23,espn,bow,5,euclidean,mean,28688,192,52,2023-09-01,2023-09-08,3.8217668533325195,0.018060922622680664,1.5774619579315186,0.1065633679286654
24,espn,tfidf,1,cosine,weighted,28909,203,41,2023-09-09,2023-09-16,4.351243019104004,0.021938085556030273,6.301033020019531,0.14485353399623757
25,espn,tfidf,5,cosine,weighted,28909,203,41,2023-09-09,2023-09-16,4.351243019104004,0.021938085556030273,6.301033020019531,0.11382978723404255
26,espn,tfidf,1,manhattan,weighted,28909,203,41,2023-09-09,2023-09-16,4.351243019104004,0.021938085556030273,6.301033020019531,0.14678157823862106
27,espn,tfidf,5,manhattan,weighted,28909,203,41,2023-09-09,2023-09-16,4.351243019104004,0.021938085556030273,6.301033020019531,0.1145631067961165
28,espn,tfidf,1,euclidean,weighted,28909,203,41,2023-09-09,2023-09-16,4.351243019104004,0.021938085556030273,6.301033020019531,0.12135355892648775
29,espn,tfidf,5,euclidean,weighted,28909,203,41,2023-09-09,2023-09-16,4.351243019104004,0.021938085556030273,6.301033020019531,0.11760094080752646
30,espn,tfidf,1,cosine,mean,28909,203,41,2023-09-09,2023-09-16,4.351243019104004,0.021938085556030273,6.301033020019531,0.14485353399623757
31,espn,tfidf,5,cosine,mean,28909,203,41,2023-09-09,2023-09-16,4.351243019104004,0.021938085556030273,6.301033020019531,0.11382978723404255
32,espn,tfidf,1,manhattan,mean,28909,203,41,2023-09-09,2023-09-16,4.351243019104004,0.021938085556030273,6.301033020019531,0.14678157823862106
33,espn,tfidf,5,manhattan,mean,28909,203,41,2023-09-09,2023-09-16,4.351243019104004,0.021938085556030273,6.301033020019531,0.1145631067961165
34,espn,tfidf,1,euclidean,mean,28909,203,41,2023-09-09,2023-09-16,4.351243019104004,0.021938085556030273,6.301033020019531,0.12135355892648775
35,espn,tfidf,5,euclidean,mean,28909,203,41,2023-09-09,2023-09-16,4.351243019104004,0.021938085556030273,6.301033020019531,0.11760094080752646
